ticker,name,ff12,mktcap_bn,roe_adj,log_pv,log_vgr_vf,log_p_vgr,g_model_pct,g_star_10y_pct,g_star_lo_pct,g_star_hi_pct,g_star_erpavg_pct,g_star_norm_pct,p_achieve_3y_pct,r_model_pct,r_star_g10_pct,r_star_g15_pct,r_star_g20_pct,r_star_g25_pct,omega_star,half_life,T_star,eps,eps_pct,flags,rpo_to_rev,eps_month,v_f,v_f_gr,mktcap,g_star_3y,omega_status,is_mega,log_pv_lo,log_pv_hi,rf,beta,erp,erp_avg,r_star_g05,r_star_g30
NVDA,NVIDIA CORP,BusEq,5551.676014709473,1.6227503135158088,1.6221223585891518,0.41081866833961483,1.2113036902495369,5.023515748894836,20.747778520967586,20.125977953352958,21.53152589023648,23.68461318799291,24.66635699950075,12.700565238903794,11.115,6.462936858128218,8.526376426059132,10.765823176109565,13.167005848783052,0.9860586944410554,49.371573106980264,17.0,-0.043399719049057595,0.4783427495291902,초대형 이익국면 백로그,0.010562136720258509,2026-04-30,1096340163154.458,1653337837820.0728,5551676014709.473,0.8407795046293813,0.0,True,1.5143065147716093,1.7471264381555478,0.04769999999999999,1.5,0.042300000000000004,0.051669594594594595,0.04588581071516559,0.15665139055912225
AAPL,Apple Inc.,BusEq,4669.699792415161,0.8825250088996834,1.7156665766956114,0.40726027168885287,1.3084063050067585,6.61011332175141,21.297548385587106,17.869893505417167,21.6308977390554,23.527600183183495,22.93100968706767,9.658270525837896,8.973244207842882,3.763072542824661,6.259343865056907,8.451382628465185,10.542557384266901,0.9909124511164487,75.92728170656694,20.0,0.0003754092753014415,0.517263025737602,초대형,,2026-04-30,839816560491.4723,1261988283910.5144,4669699792415.161,1.3146852007532743,0.0,True,1.2633738335798639,1.7968493710576379,0.04769999999999999,0.9936747536271586,0.042300000000000004,0.051669594594594595,0.01601197014952335,0.12848248579624344
GOOGL,Alphabet Inc.,BusEq,4139.365695495606,0.5295314737389839,0.1218000002553588,-0.13222998278600043,0.2540299830413592,12.159489506111122,8.906109879558244,7.463981035084544,9.10014094899907,12.083671879577196,16.875928884996938,34.127771001823746,9.901382280437415,10.284739190874179,12.140928423739016,14.154130201473269,16.305398199191078,0.8040108958795669,3.1774978036436385,7.0,-1.1464830350734005,0.030759573132454487,초대형 이익국면 백로그,1.1651456600286632,2026-04-30,3664685654910.21,3210775765402.5513,4139365695495.6055,0.2318082316021446,0.0,True,-0.011565556086566644,0.2490015413722083,0.04769999999999999,1.2130927376920604,0.042300000000000004,0.051669594594594595,0.08603304707478118,0.1855452926953689
MSFT,MICROSOFT CORP,BusEq,3710.545172496566,0.317521424427595,0.7860709331745291,-0.006330673026333221,0.7924016062008623,10.18706572399557,15.677158885478093,14.592783736657111,16.129345248896243,17.977865903117163,16.757878119119596,17.804799092917275,9.229589853843114,7.004550351792036,8.948078834004322,11.12446210178206,13.51391583368724,0.9469948445152683,12.72725738730348,14.0,-0.5355494749779183,0.17451349654739484,초대형 백로그,2.0612405413468577,2026-04-30,1690641223925.7625,1679972134024.5188,3710545172496.566,0.4613739145936506,0.0,True,0.701543659002603,0.8564639992604623,0.04769999999999999,1.0542765611922258,0.042300000000000004,0.051669594594594595,0.053077282800788356,0.1608401462129081
AMZN,AMAZON COM INC,Shops,2788.3700268328134,0.3751647582339028,-0.1274584838071455,-0.6076803464525388,0.4802218626453934,3.3329350424411874,10.139105661733083,9.94018509397847,10.940692965800736,13.905938276434426,20.541592981612666,25.8942527914667,10.972587297558494,10.923907834385036,12.764885016278814,14.778464751038033,16.937795631816076,0.8017428708878582,3.1368762661464813,10.0,0.09028634545314268,0.5869428750784683,초대형 이익국면 백로그,0.1274154551839444,2026-04-30,3167414655811.871,1725014304118.9768,2788370026832.8135,0.21705252310380274,0.0,True,-0.14678020695693844,0.05062523781824312,0.04769999999999999,1.4663326944582729,0.042300000000000004,0.051669594594594595,0.09277221140081623,0.1902679471051869
AVGO,Broadcom Inc.,BusEq,1702.7141126948727,0.38187292911900095,1.9159579192332612,0.19212369198523932,1.7238342272480218,12.760036563538456,33.21350332141719,29.710392421134202,33.48912986173218,36.42836519595676,38.5921961104259,3.065586286024404,10.857315080016672,1.378280249926719,3.2278412593942125,5.346658769764476,7.718885560513231,,,31.0,0.11600766964779474,0.6064030131826742,초대형 지속불가 이익국면 백로그,2.181143576492414,2026-04-30,250640809051.26205,303731645522.4515,1702714112694.8728,1.8633059178666826,1.0,True,1.7534984454284204,1.9279033648536825,0.04769999999999999,1.4390815792001588,0.042300000000000004,0.051669594594594595,-0.0019647243454102075,0.09578087580135561
META,"Meta Platforms, Inc.",BusEq,1568.4461596679687,0.3236088090819445,0.22802070983768893,-0.187444205602226,0.41546491543991493,6.66644117870836,10.131496041663013,6.937113182470966,10.576609550139437,13.616605163929307,10.715446039125709,32.392071801692616,10.286326768076218,10.241929310152218,12.016568525135373,13.956265550075674,16.040673226726486,0.8431509540068352,4.062775622037304,9.0,-0.7546627392834665,0.10797237915881984,초대형,,2026-04-30,1248652178305.705,1035226772537.8398,1568446159667.9688,0.26069160617294074,0.0,True,0.010402906303687787,0.26323889870869827,0.04769999999999999,1.3040961626657728,0.042300000000000004,0.051669594594594595,0.08650396848989603,0.1823267372763866
TSLA,"Tesla, Inc.",Durbl,1398.4556882340466,0.08288395226007754,2.274140838374386,-0.28732624784356303,2.561467086217949,2.743778106780459,47.40696633264179,42.994874167402486,47.4601669876165,51.4450817068564,39.297634791023484,0.4324736211655943,11.115,-0.0908733010842855,1.0167371689962592,2.3001623678399614,3.7470532693762966,,,,1.4553139489881524,0.9836785938480854,초대형 이익국면 백로그,0.09698993427846245,2026-04-30,143880484837.33676,107948767623.00119,1398455688234.0466,,,True,2.0837793077241438,2.274140838374386,0.04769999999999999,1.5,0.042300000000000004,0.051669594594594595,-0.01019439093601874,0.05338433954136976
MU,MICRON TECHNOLOGY INC,BusEq,1148.1298137054723,0.8817111692319297,1.0414389787393856,0.03227635969964604,1.0091626190397396,4.900606709309296,17.913808923208308,17.08337985548951,17.913808923208308,21.707313291767605,37.695500535915016,21.337180487246595,11.115,8.373414229126583,10.073405332477423,11.88138900798521,13.780512046176629,0.9267838263023009,9.116166877556465,12.0,-0.8588827804265184,0.07595731324544884,초대형 이익국면 백로그,0.05538693311473957,2026-04-30,405228323462.2888,418520983972.9527,1148129813705.4724,0.5540222502106644,0.0,True,0.9127933258819501,1.0414389787393856,0.04769999999999999,1.5,0.042300000000000004,0.051669594594594595,0.06798367873961128,0.15718407177655824
LLY,ELI LILLY & Co,Hlth,1081.9581424389899,0.5610560497088152,1.7182310055767538,0.38372248966449424,1.3345085159122596,10.25725410838434,21.90790168044714,18.6118246286469,22.825457725116394,22.893942241421428,26.463149853111645,9.473497206819186,6.885,1.8720612527889116,3.8266228336939907,6.000587662942111,8.379367836724613,0.9408819791956216,11.374710291752445,13.0,-0.6086514744556175,0.14814814814814814,초대형 이익국면,,2026-04-30,194085108742.74518,284866103441.00745,1081958142438.9899,1.1922204970990151,0.0,True,1.2243985722965876,1.879186177829289,0.04769999999999999,0.5,0.042300000000000004,0.051669594594594595,0.0014738022260331832,0.10801304677343923
WMT,Walmart Inc.,Shops,850.0215674183656,0.13853069658898542,0.30709806115341853,-0.1764357440948015,0.48353380524822004,3.7919807952837115,9.103264270447653,6.336835294700904,16.824702540202452,10.588255852394468,11.620809264354648,28.893622579540118,6.938093057351106,7.224638713251183,9.017450689936199,11.142728283639089,13.587520466504376,,,50.0,-0.2134686318457244,0.3559322033898305,초대형,,2026-04-30,625257560371.5588,524123800728.2579,850021567418.3656,0.3879440566477115,,True,0.12350579192393354,1.004498838357344,0.04769999999999999,0.5125515502012072,0.042300000000000004,0.051669594594594595,0.05758112941757362,0.16322882320560272
AMD,ADVANCED MICRO DEVICES INC,BusEq,779.6211177645444,0.14185773935417667,1.6071724607601294,-0.22392809264213936,1.8311005534022688,3.940191097499457,34.024223805613474,30.75131223574772,34.024223805613474,37.99595946845784,37.81567325615924,3.0093236443019067,11.115,3.5059688815752583,4.838605082798894,6.329026105078414,7.958606042942337,,,,-0.2713346960151428,0.325172630257376,초대형 이익국면 백로그,0.005374651979179276,2026-04-30,156277862771.20126,124924243529.2417,779621117764.5443,1.4531854719264174,,True,1.4085387514842984,1.6071724607601294,0.04769999999999999,1.5,0.042300000000000004,0.051669594594594595,0.023441717565279435,0.09706170843310533
JNJ,JOHNSON & JOHNSON,Hlth,663.2764173282467,0.12997827105156654,1.2858004054968708,0.2529096788547807,1.0328907266420901,11.096611610080998,22.79347549058457,17.8172723538637,24.32348142003775,23.77320676062027,19.252491718430065,7.511227400921692,6.885,1.6763111550150724,3.8441862927757615,5.6566458504423185,7.967471358108755,,,,-0.8492455405717891,0.07846829880728186,초대형 지속불가,,2026-04-30,183348995672.35754,236110778591.81912,663276417328.2467,1.3911895319536143,1.0,True,1.0180111023001872,1.4277009129364397,0.04769999999999999,0.5,0.042300000000000004,0.051669594594594595,-0.000174506066710467,0.10770245201837556
ONC,BeOne Medicines Ltd.,Hlth,529.5528637701086,0.16363910899535214,3.5836343691015684,0.1714324453087341,3.4122019237928347,10.747657340358941,59.07175115937662,47.70593598670985,62.14714024015393,61.0321101681393,,0.22359428060192624,7.007851495882068,-6.705850416906571,-5.560017922229292,-4.283398585559155,-2.891938693377653,,,45.0,1.2850574639853933,0.975517890772128,초대형 지속불가,,2026-04-30,14708103907.473516,17458577469.571518,529552863770.10864,,1.0,True,3.1148643345366844,3.7398896371061334,0.04769999999999999,0.5290429068279122,0.042300000000000004,0.051669594594594595,-0.07709318191578235,-0.014034964839791532
